timestep,metrics,total_pos_label
2,"[('Accuracy', 0.9955237242614146), ('Precision', 1.0), ('Recall', 0.7222222222222222), ('F1 Score', 0.8387096774193548), ('Specificity', 1.0), ('NPV', 0.9954710144927537), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8479099529105473), ('Confusion Matrix', (1099, 0, 5, 13)), ('ROC_AUC', 0.010261854210898813), ('AUCPR', 0.008634582256896797)]",18
3,"[('Accuracy', 0.9960906958561376), ('Precision', 0.875), ('Recall', 0.6363636363636364), ('F1 Score', 0.7368421052631579), ('Specificity', 0.999211356466877), ('NPV', 0.996852871754524), ('FPR', 0.0007886435331230284), ('FDR', 0.125), ('MCC', 0.7443976643667308), ('Confusion Matrix', (1267, 1, 4, 7)), ('ROC_AUC', 0.07205334098078577), ('AUCPR', 0.004912013987385499)]",11
4,"[('Accuracy', 0.9958333333333333), ('Precision', 1.0), ('Recall', 0.8), ('F1 Score', 0.888888888888889), ('Specificity', 1.0), ('NPV', 0.9957627118644068), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8925302064868872), ('Confusion Matrix', (1410, 0, 6, 24)), ('ROC_AUC', 0.016335697399527144), ('AUCPR', 0.010918787653442412)]",30
5,"[('Accuracy', 0.9968119022316685), ('Precision', 1.0), ('Recall', 0.25), ('F1 Score', 0.4), ('Specificity', 1.0), ('NPV', 0.9968085106382979), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.4992014900414205), ('Confusion Matrix', (1874, 0, 6, 2)), ('ROC_AUC', 0.15208110992529347), ('AUCPR', 0.002633974002507756)]",8
6,"[('Accuracy', 0.9567010309278351), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9666666666666667), ('NPV', 0.9893390191897654), ('FPR', 0.03333333333333333), ('FDR', 1.0), ('MCC', -0.018851154527185277), ('Confusion Matrix', (464, 16, 5, 0)), ('ROC_AUC', 0.3625), ('AUCPR', 0.010003543876230404)]",5
7,"[('Accuracy', 0.9260182876142976), ('Precision', 0.8421052631578947), ('Recall', 0.1568627450980392), ('F1 Score', 0.2644628099173554), ('Specificity', 0.997275204359673), ('NPV', 0.9273648648648649), ('FPR', 0.0027247956403269754), ('FDR', 0.15789473684210525), ('MCC', 0.3443901097627391), ('Confusion Matrix', (1098, 3, 86, 16)), ('ROC_AUC', 0.11987319905255472), ('AUCPR', 0.060985007679801986)]",102
8,"[('Accuracy', 0.9545064377682403), ('Precision', 0.9375), ('Recall', 0.22388059701492538), ('F1 Score', 0.3614457831325301), ('Specificity', 0.9990892531876139), ('NPV', 0.9547432550043516), ('FPR', 0.0009107468123861566), ('FDR', 0.0625), ('MCC', 0.44603065467806835), ('Confusion Matrix', (1097, 1, 52, 15)), ('ROC_AUC', 0.10754968327760107), ('AUCPR', 0.047947167183437035)]",67
9,"[('Accuracy', 0.3226221079691517), ('Precision', 0.32), ('Recall', 1.0), ('F1 Score', 0.48484848484848486), ('Specificity', 0.005660377358490566), ('NPV', 1.0), ('FPR', 0.9943396226415094), ('FDR', 0.68), ('MCC', 0.04255961412791452), ('Confusion Matrix', (3, 527, 0, 248)), ('ROC_AUC', 0.04478088861838101), ('AUCPR', 0.19655309265225038)]",248
10,"[('Accuracy', 0.01954732510288066), ('Precision', 0.017543859649122806), ('Recall', 0.9444444444444444), ('F1 Score', 0.034447821681864235), ('Specificity', 0.0020964360587002098), ('NPV', 0.6666666666666666), ('FPR', 0.9979035639412998), ('FDR', 0.9824561403508771), ('MCC', -0.1299300858520969), ('Confusion Matrix', (2, 952, 1, 17)), ('ROC_AUC', 0.11180992313067785), ('AUCPR', 0.06632402642375235)]",18
11,"[('Accuracy', 0.1925287356321839), ('Precision', 0.18903318903318903), ('Recall', 1.0), ('F1 Score', 0.31796116504854366), ('Specificity', 0.005309734513274336), ('NPV', 1.0), ('FPR', 0.9946902654867257), ('FDR', 0.810966810966811), ('MCC', 0.03168147799525514), ('Confusion Matrix', (3, 562, 0, 131)), ('ROC_AUC', 0.030142538674592993), ('AUCPR', 0.10624770978557871)]",131
